id товара,наименование,регулярная цена,бренд
1039216,"Kitten 36 Second Age Сухой корм для котят в возрасте до 12 месяцев, 300 гр.",387,Royal Canin
1019819,"Kitten 36 корм для котят в возрасте от 4 до 12 мес, 400 + 400 г",363,Royal Canin
1045491,"Kitten 36 Second Age Сухой корм для котят в возрасте до 12 месяцев, 1,2 кг",1455,Royal Canin
1002589,"Kitten 36 Second Age Сухой корм для котят в возрасте до 12 месяцев, 2 кг",2369,Royal Canin
1002557,"Kitten 36 Second Age Сухой корм для котят в возрасте до 12 месяцев, 4 кг",4595,Royal Canin
1002588,"Kitten 36 Second Age Сухой корм для котят в возрасте до 12 месяцев, 10 кг",10099,Royal Canin
1051781,"Sterilised 37 Regular Сухой корм для стерилизованных кошек с 1 до 7 лет, 200 г",275,Royal Canin
1000724,"Sterilised 37 Regular Сухой корм для стерилизованных кошек с 1 до 7 лет, 400 гр.",525,Royal Canin
1051779,"Sterilised 37 Regular Сухой корм для стерилизованных кошек с 1 до 7 лет, 1,2 кг",1479,Royal Canin
1000715,"Sterilised 37 Regular Сухой корм для стерилизованных кошек с 1 до 7 лет, 2 кг",2385,Royal Canin
1003418,"Sterilised 37 Regular Сухой корм для стерилизованных кошек с 1 до 7 лет, 4 кг",4645,Royal Canin
1002563,"Sterilised 37 Regular Сухой корм для стерилизованных кошек с 1 до 7 лет, 10 кг",9789,Royal Canin
1002782,"Maine Coon Adult Сухой корм для взрослых кошек породы мейн-кун, 400 гр.",637,Royal Canin
1003903,"Maine Coon Adult Сухой корм для взрослых кошек породы мейн-кун, 2 кг",2859,Royal Canin
1002551,"Maine Coon Adult Сухой корм для взрослых кошек породы мейн-кун, 4 кг",5545,Royal Canin
1002550,"Maine Coon Adult Сухой корм для взрослых кошек породы мейн-кун, 10 кг",12479,Royal Canin
1015448,"HA St/Ox Hypoallergenic Сухой диетический корм при пищевой непереносимости для кошек, 325 гр.",1125,PRO PLAN® Veterinary Diets
1002271,"HA St/Ox Hypoallergenic Сухой диетический корм при пищевой непереносимости для кошек, 1,3 кг",3999,PRO PLAN® Veterinary Diets
1005088,"Veterinary Diets EN ST/OX Gastrointestinal Сухой корм для котят и взрослых кошек для снижения проявлений кишечных расстройств, 400 гр.",1055,PRO PLAN® Veterinary Diets
1004832,"Veterinary Diets EN ST/OX Gastrointestinal Сухой корм для котят и взрослых кошек для снижения проявлений кишечных расстройств, 1,5 кг",3899,PRO PLAN® Veterinary Diets
1041505,"Промопак: Сухой корм Veterinary Diets EN St/Ox для взрослых кошек и котят для снижения проявлений острых кишечных расстройств, Пакет 1,5 кг + Влажный корм Veterinary Diets EN St/Ox с разными вкусами, 3х85 г = 255 г",3589,PRO PLAN® Veterinary Diets
1000871,"Urinary s/o LP34 Сухой корм при заболеваниях дистального отдела мочевыделительной системы у кошек, 400 г",739,Royal Canin
1000862,"Urinary s/o LP34 Сухой корм при заболеваниях дистального отдела мочевыделительной системы у кошек, 1,5 кг",2515,Royal Canin
1000866,"Urinary s/o LP34 Сухой корм при заболеваниях дистального отдела мочевыделительной системы у кошек, 3,5 кг",5405,Royal Canin
1018908,"Urinary s/o LP34 Сухой корм при заболеваниях дистального отдела мочевыделительной системы у кошек, 7 кг",10357,Royal Canin
1003538,"Gastrointestinal GI32 S/O Сухой корм при лечении ЖКТ для кошек, 400 гр.",819,Royal Canin
1003547,"Gastrointestinal GI32 S/O Сухой корм при лечении ЖКТ для кошек, 2 кг",3629,Royal Canin
1029486,"Корм сухой для кошек Стерилайзд 7+, 400 г",525,Royal Canin
1026803,"Sterilised Сухой корм для стерилизованных кошек старше 7 лет, 1,5 кг",1795,Royal Canin
1029487,"Корм сухой для кошек Роял Канин Стерилайзд 7+, 3,5 кг",4059,Royal Canin
1040164,"Сухой корм для котят, ягненок с индейкой, 400 гр.",899,Grandorf
1040165,"Сухой корм для котят, ягненок с индейкой, 2 кг",2919,Grandorf
1040166,"Сухой корм для домашних кошек, с ягненком и индейкой, 400 гр.",899,Grandorf
1040167,"Сухой корм для домашних кошек, ягненок с индейкой, 2 кг",2919,Grandorf
1040170,"Сухой корм для кошек белая рыба с индейкой, забота о коже и шерсти 400гр.",899,Grandorf
1040171,"Сухой корм для домашних кошек, белая рыба с индейкой, 2 кг",2919,Grandorf
1040172,"Сухой корм для домашних кошек, четыре вида мяса, 400 гр.",935,Grandorf
1040173,"Сухой корм для домашних кошек, четыре вида мяса, 2 кг",3155,Grandorf
1040174,"Сухой корм для стерилизованных кошек, четыре вида мяса, 400 гр.",935,Grandorf
1040175,"Сухой корм для стерилизованных кошек, четыре вида мяса, 2 кг",3155,Grandorf
1040784,"Adult Sterilized Grain Free Сухой корм для стерилизованных кошек, с курицей и индейкой, 1 кг",1649,Ownat
1043141,"N&D PRIME сухой корм для кошек, с ягненком и черникой, 300г",939,Farmina
1043142,"N&D PRIME сухой корм для кошек, с ягненком и черникой, 1,5кг",3695,Farmina
