id товара,наименование,ссылка на товар,регулярная цена,промо цена,бренд
87763,"Крыло цыпленка-бройлера «Наша Птичка» охлажденное (0,7-1 кг), 1 упаковка ~0,8 кг",https://www.auchan.ru/product/krylo_cb_nasha_ptichka_ohllot/,259,336.99,Наша птичка
22709,"Голень цыпленка-бройлера «Петруха» Мини охлажденная, 600 г",https://www.auchan.ru/product/golen-cyplenka-broylera-petruha-mini-ohlazhdennaya-600-g/,199.9,251.99,Петруха
56036,"Бедро куриное «Петелинка» Барбекю в маринаде охлажденное (1 - 1,3 кг), 1 упаковка ~ 1,1 кг",https://www.auchan.ru/product/bedro_v_marinade_petelinka/,239,294.99,Петелинка
153106,"Котлета из индейки натуральная «Пава Пава», 600 г",https://www.auchan.ru/product/kotleta-nat-iz-grudki-pava-600/,339,412.99,Пава Пава
55871,"Голень цыпленка-бройлера «Петелинка» с кожей охлажденная (0,6 - 0,9 кг), 1 упаковка ~ 0,7 кг",https://www.auchan.ru/product/golen_kurinohl_1kg_petelin/,289,346.99,Петелинка
250028,"Голень индейки «Пава Пава» с кожей, вес",https://www.auchan.ru/product/golen-ind-s-kozhey-kg-pava/,269,315.99,Пава Пава
4550,"Голень куриная «Петруха», 750 г",https://www.auchan.ru/product/golen-petruha-kurinaya-750g/,199.9,230.49,Петруха
56342,"Бедро цыплят-бройлеров «Наша Птичка» охлажденное (0,9 - 1,2 кг), 1 упаковка ~ 1 кг",https://www.auchan.ru/product/bedro_cb_nasha_ptichka_ohllot/,199.9,226.99,Наша птичка
290143,"Бедрышки цыпленка табака «Рококо» охлажденные, 900 г",https://www.auchan.ru/product/bedryshki-cyplenka-tabaka-900g/,249,281.99,Рококо
22821,"Филе грудки индейки «Индилайт» охлажденное, 1 кг",https://www.auchan.ru/product/file-grudki-indeyki-indilayt-ohlazhdennoe-1-kg/,539,609.99,Индилайт
12869,"Филе цыпленка-бройлера «Троекурово» охлажденное, 900 г",https://www.auchan.ru/product/file-cyplenka-broylera-troekurovo-ohlazhdennoe-900-g/,359,403.99,Троекурово
12868,"Бедро цыпленка-бройлера «Троекурово» охлажденное, 900 г",https://www.auchan.ru/product/bedro-cyplenka-broylera-troekurovo-ohlazhdennoe-900-g/,229,255.99,Троекурово
210151,"Набор для бульона «Озерка» из утенка охлажденный, 400 г",https://www.auchan.ru/product/nabor-dlya-bulona-iz-ut-400-g/,76.99,86.99,Озерка
183018,"Филе бедра индейки «Индилайт» охлажденное (2,5-3,1 кг), 1 упаковка ~ 2,8 кг",https://www.auchan.ru/product/file-bedra-vu-ohl/,499,557.99,Индилайт
22819,"Филе бедра индейки «Индилайт» охлажденное, 1 кг",https://www.auchan.ru/product/file-bedra-indeyki-indilayt-ohlazhdennoe-1-kg/,559,624.99,Индилайт
168222,"Медальоны из утенка «Озерка» Darfresh, 510 г",https://www.auchan.ru/product/medalony-iz-utenka-510g/,464.99,518.99,Озерка
183017,"Филе грудки индейки «Индилайт» тонкий край охлажденный (2,5-3,1 кг), 1 упаковка ~ 2,8 кг",https://www.auchan.ru/product/file-grudki-vu-ohl/,469,518.99,Индилайт
114636,"Голень индейки «Индилайт» охлажденная, 1 упаковка ~ 1 кг",https://www.auchan.ru/product/golen_samkavuvesohl/,239,261.99,Индилайт
86571,"Тушка цыпленка-бройлера An-noor Халяль (1,7-2,3 кг), 1 упаковка ~ 2,1 кг",https://www.auchan.ru/product/tushka_cb_halyal_ohlpaket_7sut/,195.9,211.99,An-noor
121406,"Голень цыпленка-бройлера «Своя» (0,5-1 кг), 1 упаковка ~ 0,8 кг",https://www.auchan.ru/product/svoya_golen_cb_ohl_lotok/,269,290.99,СВОЯ
139383,"Филе грудки утенка «Озерка» Darfresh охлажденное (0,4-0,8 кг), 1 упаковка ~ 0,6 кг",https://www.auchan.ru/product/file-grudki-utenka-ohldarfresh/,779,850.99,Озерка
71689,"Тушка цыпленка-бройлера «Благояр» охлажденная (1,6 - 1,9 кг), 1 упаковка ~ 1,7 кг",https://www.auchan.ru/product/tushka_cb_blag_ohl_paket_gost/,191.9,206.99,Блягояр
250027,"Филе грудки индейки «Пава Пава», 500 г",https://www.auchan.ru/product/file-grudki-ind-pava-500g/,279,298.99,Пава Пава
22822,"Филе грудки малое индейки «Индилайт» охлажденное, 1 кг",https://www.auchan.ru/product/file-grudki-maloe-indeyki-indilayt-ohlazhdennoe-1-kg/,549,587.99,Индилайт
74672,"Тушка цыпленка-бройлера «Халяль» охлажденная ( 1.5-1.7 кг), 1 упаковка ~ 1.7 кг",https://www.auchan.ru/product/tushka_cb_halyal_lot_1_sort/,201.99,215.99,Халяль
237114,"Филе бедра индейки «Пава Пава» охлажденное, 800 г",https://www.auchan.ru/product/file-bedra-ind-pava-800g/,419,447.99,Пава Пава
56341,"Тушка цыпленка-бройлера «Наша птичка» (0,9-1,1 кг), 1 упаковка ~ 1 кг",https://www.auchan.ru/product/tushka_cbnasha_ptichkaohllotok/,196.9,207.99,Наша птичка
56556,"Филе бедра цыпленка-бройлера «Петелинка» без кожи охлажденное (0,8 - 1,1 кг), 1 упаковка ~ 0,9 кг",https://www.auchan.ru/product/file_bedra_ohl_petelinka/,475.49,,Петелинка
