id товара,наименование,ссылка на товар,регулярная цена,промо цена,бренд
117603,"Батончик Snickers Super шоколадный, 80г",https://online.metro-cc.ru/products/80g-snickers-super,64,77,SNICKERS
366305,"RIOBA Шоколад молочный (5г х 160шт), 800г",https://online.metro-cc.ru/products/rioba-porcionnyj-molochnyj-32-kakao-800g,729,809,RIOBA
401987,"Батончик Twix Экстра шоколадный, 82г",https://online.metro-cc.ru/products/art_401987,64,77,TWIX
138161,"RIOBA Мини-шоколад Ассорти 6 вкусов, 800г",https://online.metro-cc.ru/products/800g-mini-shokolad-rioba-assorti-6-vkusov,849,939,RIOBA
337582,"Набор шоколада Ritter Sport Mini порционного, 1.4кг",https://online.metro-cc.ru/products/ritter-sport-nabor-porcionnogo-mini-14kg,Доступен только в магазине или отсутствует,Доступен только в магазине или отсутствует,RITTER SPORT
366302,"RIOBA Шоколад темный (5г х 160шт), 800г",https://online.metro-cc.ru/products/rioba-porcionnyj-temnyj-51-kakao-800g,729,809,RIOBA
117793,"Батончик Snickers Super шоколадный, 80г x 32 шт",https://online.metro-cc.ru/products/80g-snickers-super-117793,Доступен только в магазине или отсутствует,Доступен только в магазине или отсутствует,SNICKERS
121735,"Драже M&M's с арахисом, 80г",https://online.metro-cc.ru/products/80g-drazhe-m-m-039s-s-arahisom,79,117,M&M'S
112694,"Шоколад Milka молочный, 85г",https://online.metro-cc.ru/products/shokolad-milka-molochnyj-85g,99,109,MILKA
401982,"Батончик Bounty Трио шоколадный, 83г",https://online.metro-cc.ru/products/bounty-trio-825g-401982,64,77,BOUNTY
363767,"Батончик Snickers шоколадный с лесным орехом, 81г",https://online.metro-cc.ru/products/snickers-c-lesnym-orehom-81g,64,77,SNICKERS
469090,"Шоколад Ritter Sport молочный Альпийское молоко, 100г",https://online.metro-cc.ru/products/ritter-sport-molochnyj-alpijskoe-moloko-100g,139,149,RITTER SPORT
140362,"Батончик шоколадный Snickers белый, 81г",https://online.metro-cc.ru/products/81g-shokoladnyy-batonchik-snickers-belyy,64,77,SNICKERS
121736,"Драже M&M's с молочным шоколадом, 80г",https://online.metro-cc.ru/products/80g-drazhe-m-m-039s-s-molochnym,79,117,M&M'S
456038,"Батончик Snickers шоколадный, 51г x 48 шт",https://online.metro-cc.ru/products/snickers-c-arahisom-505g-h-48sht,Доступен только в магазине или отсутствует,Доступен только в магазине или отсутствует,SNICKERS
112677,"Шоколад Milka молочный с цельным фундуком, 85г",https://online.metro-cc.ru/products/shokolad-milka-molochnyj-s-celnym-fundukom-85g,109,129,MILKA
619953,"Шоколад Победа вкуса молочный без сахара 36% какао, 100г",https://online.metro-cc.ru/products/pobeda-molochnyj-32-kakao-bez-sahara-100-g,119,156,ПОБЕДА
228777,"Батончик Bounty шоколадный с мякотью кокоса, 55г x 32 шт",https://online.metro-cc.ru/products/bounty-s-myakotyu-kokosa-v-molochnmm-55g-h-32sht,Доступен только в магазине или отсутствует,Доступен только в магазине или отсутствует,BOUNTY
401984,"Батончик Milky Way шоколадный, 26г",https://online.metro-cc.ru/products/shokoladnyj-batonchik-milky-way-26-g,19,19,MILKY WAY
401986,"Батончик Twix шоколадный карамель, 55г",https://online.metro-cc.ru/products/twix-40h55g-401986,45,43,TWIX
453148,"Батончик Mars Max шоколадный, 81г",https://online.metro-cc.ru/products/art_453148,64,77,MARS
456037,"Батончик Snickers шоколадный, 51г",https://online.metro-cc.ru/products/snickers-c-arahisom-505g,45,43,SNICKERS
597352,"Шоколад Ritter Sport молочный лесной орех, 100г",https://online.metro-cc.ru/products/ritter-sport-molochnyj-lesnoj-oreh-100g,139,149,RITTER SPORT
148889,"Шоколад Ritter Sport темный марципан, 100г",https://online.metro-cc.ru/products/ritter-sport-temnyj-marcipan-100g,139,149,RITTER SPORT
114902,"Шоколад Россия Щедрая душа Очень молочный, 82г",https://online.metro-cc.ru/products/molochnyj-rossiya-schedraya-dusha-82g,64,59,РОССИЯ ЩЕДРАЯ ДУША
